"squirrel_id","percent_return","observations","ALR","LRS","LBS","litter_id","litter_size","year","field_bdate","n1_date","tag_date","grid","locx","locy","ln","food","father_id","mother_byear","mother_bcert","maternal_grandma_id","mom_dates","mom_datee","dam_age","julian","mom_longevity.x","litter_fit","ARS","std_ls","std_ARS","mean_growthRate","yrf","std_growth","std_julian","std_litter_fit","average_latency","mast_encounter","mast_encounter1","mom_longevity.y","exp","scaled_lat","scaled_long"
19432,50,3,4,0,11,5828,3,2014,"7/12/14","7/13/14","8/9/14","JO","H.5",15,1,0,NA,2013,"Y",12357,"4/16/13","4/21/19",1,193,2196,0,0,-0.635894689,0,1.862962963,2014,0.704563887,1.379170544,0,282.25,1,"yes",2196,0,-0.22418935,1.17109149
19509,100,1,4,0,5,5832,3,2014,"6/14/14","6/16/14",NA,"JO","I.0",5,1,0,NA,2013,"Y",12846,"4/22/13","8/15/17",1,165,1576,0,0,-0.635894689,0,NA,2014,NA,0.473565798,0,90,1,"yes",1576,0,-1.851444985,0.236737179
19550,100,1,2,0,18,5799,5,2014,"5/15/14","5/15/14","6/11/14","KL","-6",3,1,0,NA,2012,"N",NA,"4/28/13","5/15/16",2,135,1113,0,0,1.540171757,0,0.885185185,2014,-1.666901431,-0.472525498,0,117,1,"yes",1113,0,-1.622909733,-0.461014507
19553,50,3,4,2,8,5750,3,2014,"5/5/14","5/6/14","5/31/14","JO","F.0",16.5,1,0,NA,2013,"Y",10841,"4/28/13","8/15/17",1,125,1570,1,1,-0.635894689,0.680672269,1.466666667,2014,-0.383914978,-0.820155268,1.038461538,290.25,1,"yes",1570,0,-0.156475202,0.227695041
19561,33.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"yes",2580,0,NA,NA
19570,50,2,4,1,6,5868,1,2014,"6/30/14","7/6/14","7/24/14","AG","I.5",12,1,1,NA,2013,"Y",12679,"4/19/13","6/7/17",1,181,1510,0,0,-2.259346855,0,1.316666667,2014,-0.737072694,0.69904231,0,227,1,"yes",1510,1,-0.691840189,0.137273656
19583,100,2,5,2,23,5904,4,2014,"6/8/14","6/9/14",NA,"KL","N.0",1.5,1,0,20198,2013,"Y",13112,"4/29/13","6/19/18",1,159,1877,0,0,0.42217906,0,NA,2014,NA,0.317780306,0,203.5,1,"yes",1877,0,-0.890750501,0.690351127
19587,40,3,5,0,11,5833,3,2014,"6/16/14","6/16/14",NA,"JO","J.5",11,1,0,NA,2013,"Y",13424,"4/29/13","8/15/18",1,167,1934,0,0,-0.635894689,0,NA,2014,NA,0.538251851,0,318.6,1,"yes",1934,0,0.083486813,0.776251443
19589,50,2,2,0,6,5842,3,2014,"7/2/14","7/2/14",NA,"JO","P.5",11.5,1,0,NA,2013,"Y",12639,"4/29/13","4/30/17",1,183,1462,0,0,-0.635894689,0,NA,2014,NA,1.055740277,0,330,1,"yes",1462,0,0.179979474,0.064936548
19611,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"yes",2255,0,NA,NA
