"","squirrel_id","grid_year","nest","n_pups","scaled_mom_age","scaled_mom_age_squared","scaled_density","year","predator","scaled_julian_date","ARS","return_lat","scaled_lat"
"57",19334,"AG_2017","2",3,0.953883495145631,0.909893722311245,1.074937158,"nonmast","low predator",-1.123019044,2,130,-1.390896679
"58",19334,"AG_2017","1",4,0.953883495145631,0.909893722311245,-1.125000137,"nonmast","low predator",-1.123019044,2,193,-0.928977673
"59",20138,"AG_2017","1",3,-0.046116504854369,0.00212673201998304,-1.125000137,"nonmast","low predator",-0.399758032,1,289,-0.225101092
"60",13140,"AG_2017","2",3,1.95388349514563,3.81766071260251,0.945529082,"nonmast","low predator",-0.242527377,1,153,-1.222259581
"61",13140,"AG_2017","1",3,1.95388349514563,3.81766071260251,0.945529082,"nonmast","low predator",-0.242527377,1,27,-2.146097593
"62",13579,"AG_2017","2",1,1.95388349514563,3.81766071260251,0.816121006,"nonmast","low predator",-0.368311901,0,170,-1.09761477
"63",13579,"AG_2017","1",1,1.95388349514563,3.81766071260251,0.816121006,"nonmast","low predator",-0.368311901,0,30,-2.12410145
"64",19988,"AG_2017","1",3,0.953883495145631,0.909893722311245,0.816121006,"nonmast","low predator",-0.273973508,0,0,-2.344062881
"65",20387,"AG_2017","2",2,-0.046116504854369,0.00212673201998304,1.074937158,"nonmast","low predator",-0.902896127,1,183,-1.00229815
"66",20387,"AG_2017","1",2,-0.046116504854369,0.00212673201998304,-1.125000137,"nonmast","low predator",-0.902896127,1,360,0.295474295
"67",20385,"AG_2017","1",3,-0.046116504854369,0.00212673201998304,1.204345234,"nonmast","low predator",0.040487801,0,145,-1.280915963
"68",20475,"AG_2017","1",3,-0.046116504854369,0.00212673201998304,1.204345234,"nonmast","low predator",0.103380063,0,346,0.192825627
"69",21246,"AG_2017","1",2,-0.046116504854369,0.00212673201998304,-1.125000137,"nonmast","low predator",-0.65132708,2,23,-2.175425784
"70",22018,"AG_2017","1",3,-1.04611650485437,1.09435974172872,-1.125000137,"nonmast","low predator",-1.060126782,2,70,-1.830819541
"71",20014,"AG_2017","2",3,-0.046116504854369,0.00212673201998304,-1.125000137,"nonmast","low predator",-1.217357437,2,261,-0.430398428
"72",20014,"AG_2017","1",3,-0.046116504854369,0.00212673201998304,-1.125000137,"nonmast","low predator",-1.217357437,2,420,0.735397158
"73",20474,"AG_2017","2",4,-0.046116504854369,0.00212673201998304,1.074937158,"nonmast","low predator",-0.368311901,0,274,-0.335081808
"74",20474,"AG_2017","1",4,-0.046116504854369,0.00212673201998304,-1.125000137,"nonmast","low predator",-0.368311901,0,157,-1.19293139
"75",20630,"AG_2017","2",3,-0.046116504854369,0.00212673201998304,0.816121006,"nonmast","low predator",-0.65132708,1,212,-0.789668766
"76",20630,"AG_2017","1",3,-0.046116504854369,0.00212673201998304,-1.125000137,"nonmast","low predator",-0.65132708,1,333,0.097509007
"77",22519,"AG_2017","2",3,-1.04611650485437,1.09435974172872,0.427896778,"nonmast","low predator",-0.745665473,0,165,-1.134275009
"78",22519,"AG_2017","1",3,-1.04611650485437,1.09435974172872,-1.125000137,"nonmast","low predator",-0.745665473,0,345,0.185493579
"79",20967,"AG_2017","2",3,-0.046116504854369,0.00212673201998304,0.039672549,"nonmast","low predator",-0.65132708,0,114,-1.508209442
"80",20967,"AG_2017","1",4,-0.046116504854369,0.00212673201998304,-1.125000137,"nonmast","low predator",-0.65132708,0,300,-0.144448568
"81",22200,"AG_2017","1",2,-2.04611650485437,4.18659275143746,1.074937158,"nonmast","low predator",-0.053850591,0,150,-1.244255724
"82",20231,"AG_2017","2",4,-0.046116504854369,0.00212673201998304,1.074937158,"nonmast","low predator",-0.305419639,0,210,-0.804332862
