"","squirrel_id","grid_year","nest","n_pups","scaled_mom_age","scaled_mom_age_squared","scaled_density","year","predator","scaled_julian_date","ARS","m_return","m_return_numeric"
"68",13268,"AG_2017","1",3,1.98898678414097,3.95606842748743,1.333753311,"nonmast","low predator",-0.331627023,0,"n",0
"69",20229,"AG_2017","1",1,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.395069359,0,"n",0
"70",20385,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",0.049026992,0,"n",0
"71",19926,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,0.68671293,"nonmast","low predator",-0.173021183,3,"n",0
"72",21153,"AG_2017","2",1,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",0.588286847,0,"n",0
"73",21153,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.966050382,0,"n",0
"74",19970,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-1.410146732,0,"n",0
"75",12604,"AG_2017","2",2,3.98898678414097,15.9120155640513,1.333753311,"nonmast","low predator",-0.648838702,1,"n",0
"76",12604,"AG_2017","1",2,3.98898678414097,15.9120155640513,1.333753311,"nonmast","low predator",-0.648838702,1,"n",0
"77",21246,"AG_2017","2",2,-0.0110132158590308,0.000121290923557608,0.298488701,"nonmast","low predator",-0.648838702,2,"n",0
"78",22018,"AG_2017","2",3,-1.01101321585903,1.02214772264162,0.945529082,"nonmast","low predator",-1.061213885,2,"n",0
"79",12605,"AG_2017","2",2,3.98898678414097,15.9120155640513,1.333753311,"nonmast","low predator",-0.775723374,1,"n",0
"80",19570,"AG_2017","1",2,0.988986784140969,0.978094859205496,1.204345234,"nonmast","low predator",-0.395069359,0,"n",0
"81",13023,"AG_2017","2",4,2.98898678414097,8.93404199576937,0.557304854,"nonmast","low predator",-0.966050382,3,"n",0
"82",20475,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",0.112469328,0,"n",0
"83",22035,"AG_2017","2",2,-1.01101321585903,1.02214772264162,-1.125000137,"nonmast","low predator",0.049026992,0,"n",0
"84",22035,"AG_2017","1",2,-1.01101321585903,1.02214772264162,1.204345234,"nonmast","low predator",0.049026992,0,"n",0
"85",22096,"AG_2017","1",2,-2.01101321585903,4.04417415435968,-1.125000137,"nonmast","low predator",-0.553675199,0,"n",0
"86",22002,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.775723374,0,"n",0
