"","X.3","X.2","X.1","X","squirrel_id","grid_year","yearn","mid","locx","locy","litter","nest","n_pups","date","julian_date","year","t_return","return_lat","t_move","m_return","observer","nest_type","cones_counts","mustelid_tracks","LRS","mom_age","predator","month","scaled_lat","males","dist","age_sq","average_growth","scaled_pups","m_return_numeric","percent_return","observations","litter_id","julian_part","grid","locY","locX","local.density","scaled_julian_date","scaled_density","ARS"
"35",35,843,843,843,12731,"AG_2016",2016,"V.2",22.5,2,1,2,3,"4/18/16",109,"nonmast",180,180,240,"y","CFH","ground",0,32,10,5,"low predator",4,-1.024294293,0,4.7,25,NA,0.169326614,1,100,2,7023,88,"AG",2,22.5,0,-1.378425565,-0.478456974,0
"36",36,844,844,844,12731,"AG_2016",2016,"V.2",22.5,2,1,1,3,"3/28/16",88,"nonmast",420,420,480,"y","SBS","grass",0,32,10,5,"low predator",3,0.735397158,0,4.7,25,NA,0.169326614,1,100,2,7023,88,"AG",2,22.5,0,-1.378425565,-0.478456974,0
"37",37,857,857,857,19308,"AG_2016",2016,"0-0.",0,-0.5,1,2,3,"5/15/16",136,"nonmast",109,109,120,"y","JST","grass",0,32,0,4,"low predator",5,-1.544869681,0.941745225,0.894427191,16,NA,0.169326614,1,100,2,6498,111,"AG",-0.5,0,1.883490451,-0.648838702,0.792967153,0
"38",38,858,858,858,19308,"AG_2016",2016,"0-0.",0,-0.5,1,1,3,"4/20/16",111,"nonmast",60,60,120,"y","ABM","grass",0,32,0,4,"low predator",4,-1.904140018,0,0.894427191,16,NA,0.169326614,1,100,2,6498,111,"AG",-0.5,0,0,-0.648838702,-0.478456974,0
"39",39,859,859,859,22076,"AG_2016",2016,"19",0,19,1,2,3,"5/9/16",130,"nonmast",NA,NA,NA,"y","SWK",NA,0,32,1,1,"low predator",5,NA,0.941745225,0.6,1,NA,0.169326614,1,66.66666667,3,6970,102,"AG",19,0,1.883490451,-0.934329214,0.792967153,0
"40",40,3,3,3,20184,"AG_2017",2017,"A14.",1,14.5,1,2,3,"6/8/17",159,"nonmast",NA,420,NA,"n","MMS/MCS","wb",1.563492063,19,1,3,"low predator",6,0.735397158,0,0.98488578,9,NA,0.160363944,0,50,2,7766,127,"AG",14.5,1,0,-0.141300016,-1.125000137,0
"41",41,6,6,6,22108,"AG_2017",2017,"A18",1,18,1,2,2,"5/16/17",136,"nonmast",NA,420,NA,"n","DUMMY","wb",1.563492063,19,1,2,"low predator",5,0.735397158,1.506792361,0.2,4,NA,-1.212752326,0,0,2,8035,111,"AG",18,1,3.390282811,-0.648838702,1.204345234,1
"42",42,7,7,7,22108,"AG_2017",2017,"A18",1,18,1,1,2,"4/25/17",115,"nonmast",NA,420,NA,"n","DUMMY","wb",1.563492063,19,1,2,"low predator",4,0.735397158,0,0.2,4,NA,-1.212752326,0,0,2,8035,111,"AG",18,1,0,-0.648838702,-1.125000137,1
"43",43,24,24,24,20225,"AG_2017",2017,"C6",3,6,1,1,3,"4/18/17",108,"nonmast",NA,420,NA,"n","HLS/AJM","bucket",1.563492063,19,1,3,"low predator",4,0.735397158,0,0,9,NA,0.160363944,0,66.66666667,3,8028,103,"AG",6,3,0,-0.902608046,-1.125000137,1
"44",44,28,28,28,22013,"AG_2017",2017,"C17.",3,17.5,1,1,3,"5/2/17",122,"nonmast",NA,420,NA,"n","LEP","wb",1.563492063,19,0,3,"low predator",5,0.735397158,1.506792361,0.1,9,NA,0.160363944,0,0,1,8058,116,"AG",17.5,3,3.955329947,-0.490232863,1.592569464,0
"45",45,42,42,42,22024,"AG_2017",2017,"D7",4,7,1,1,3,"5/8/17",128,"nonmast",NA,420,NA,"n","nKP/ARM","wb",1.563492063,19,0,2,"low predator",5,0.735397158,0.941745225,0,4,NA,0.160363944,0,50,2,7854,125,"AG",7,4,2.260188541,-0.204742351,0.427896778,0
"46",46,54,54,54,22144,"AG_2017",2017,"E8.",5,8.5,1,2,3,"5/28/17",148,"nonmast",NA,420,NA,"n","SWK","wb",1.563492063,19,0,1,"low predator",5,0.735397158,0.75339618,0.2,1,NA,0.160363944,0,0,2,7956,122,"AG",8.5,5,2.260188541,-0.299905855,0.427896778,0
"47",47,55,55,55,22144,"AG_2017",2017,"E8.",5,8.5,1,1,3,"5/4/17",124,"nonmast",NA,420,NA,"n","LEP/ZCF","wb",1.563492063,19,0,1,"low predator",5,0.735397158,0.75339618,0.2,1,NA,0.160363944,0,0,2,7956,122,"AG",8.5,5,2.260188541,-0.299905855,0.427896778,0
"48",48,59,59,59,13567,"AG_2017",2017,"F2",6,2,1,1,3,"5/1/17",121,"nonmast",NA,420,NA,"n","nMI/LEP","grass",1.563492063,19,1,5,"low predator",5,0.735397158,1.695141406,0,25,NA,0.160363944,0,50,2,7721,115,"AG",2,6,2.636886631,-0.521954031,0.68671293,1
"49",49,74,74,74,20415,"AG_2017",2017,"A.1.",1.5,1.5,1,1,3,"5/2/17",122,"nonmast",NA,420,NA,"n","ARM/BMT","wb",1.563492063,19,1,3,"low predator",5,0.735397158,1.506792361,5.115662225,9,NA,0.160363944,0,50,2,7782,119,"AG",1.5,1.5,2.448537586,-0.395069359,0.557304854,1
"50",50,75,75,75,13246,"AG_2017",2017,"G19",7,19,1,1,3,"4/4/17",94,"nonmast",NA,420,NA,"n","HLS/BJD/EEM","grass",1.563492063,19,6,5,"low predator",4,0.735397158,0,0.1,25,NA,0.160363944,0,50,2,7713,94,"AG",19,7,0,-1.188098557,-1.125000137,2
"51",51,76,76,76,19962,"AG_2017",2017,"G13.",7,13.5,1,2,3,"5/1/17",121,"nonmast",NA,420,NA,"n","nMI","grass",1.563492063,19,0,3,"low predator",5,0.735397158,1.13009427,0,9,NA,0.160363944,0,0,2,7749,96,"AG",13.5,7,2.825235676,-1.124656221,0.816121006,0
"52",52,77,77,77,19962,"AG_2017",2017,"G13.",7,13.5,1,1,3,"4/20/17",110,"nonmast",NA,420,NA,"n","LEP","bucket",1.563492063,19,0,3,"low predator",4,0.735397158,0,0,9,NA,0.160363944,0,0,2,7749,96,"AG",13.5,7,0,-1.124656221,-1.125000137,0
"53",53,90,90,90,20051,"AG_2017",2017,"B.0.",2.5,0.5,1,2,4,"5/18/17",138,"nonmast",NA,420,NA,"n","JGR","grass",1.563492063,19,0,3,"low predator",5,0.735397158,1.13009427,5.590169944,9,NA,1.533480213,0,0,4,7758,112,"AG",0.5,2.5,3.013584721,-0.617117534,0.945529082,0
"54",54,91,91,91,20051,"AG_2017",2017,"B.0.",2.5,0.5,1,1,4,"4/24/17",114,"nonmast",NA,420,NA,"n","DUMMY","bucket",1.563492063,19,0,3,"low predator",4,0.735397158,0,5.590169944,9,NA,1.533480213,0,0,4,7758,112,"AG",0.5,2.5,0,-0.617117534,-1.125000137,0
"55",55,103,103,103,20255,"AG_2017",2017,"H17.",8,17.5,1,2,3,"5/23/17",143,"nonmast",NA,420,NA,"n","DUMMY","grass",1.563492063,19,2,3,"low predator",5,0.735397158,1.318443316,0.412310563,9,NA,0.160363944,0,0,2,7771,118,"AG",17.5,8,3.578631857,-0.426790527,1.333753311,2
"56",56,104,104,104,20255,"AG_2017",2017,"H17.",8,17.5,1,1,3,"5/17/17",137,"nonmast",NA,420,NA,"n","HLS/MCF","grass",1.563492063,19,2,3,"low predator",5,0.735397158,1.318443316,0.412310563,9,NA,0.160363944,0,0,2,7771,118,"AG",17.5,8,3.578631857,-0.426790527,1.333753311,2
"57",57,107,107,107,20863,"AG_2017",2017,"H2.",8,2.5,1,2,3,"4/27/17",117,"nonmast",NA,420,NA,"n","ARM/SSJ/EEM","wb",1.563492063,19,2,3,"low predator",4,0.735397158,0,0.509901951,9,NA,0.160363944,0,50,4,8030,93,"AG",2.5,8,0,-1.219819725,-1.125000137,2
"58",58,114,114,114,12095,"AG_2017",2017,"C.1/C1",3.5,1,1,2,1,"5/31/17",151,"nonmast",NA,420,NA,"n","BMT/LEP","grass",1.563492063,19,9,7,"low predator",5,0.735397158,0.941745225,5.503635162,49,NA,-2.585868595,0,50,2,7695,126,"AG",1,3.5,3.201933766,-0.173021183,1.074937158,1
"59",59,128,128,128,22059,"AG_2017",2017,"I20",9,20,1,1,3,"5/7/17",127,"nonmast",NA,420,NA,"n","HLS/MMS","wb",1.563492063,19,1,2,"low predator",5,0.735397158,1.318443316,0,4,NA,0.160363944,0,50,2,7950,119,"AG",20,9,3.578631857,-0.395069359,1.333753311,1
"60",60,141,141,141,19311,"AG_2017",2017,"D.19",4.5,19,1,1,3,"5/9/17",129,"nonmast",NA,420,NA,"n","BMT/LEP","wb",1.563492063,19,4,4,"low predator",5,0.735397158,1.506792361,5.003998401,16,NA,0.160363944,0,50,2,7725,124,"AG",19,4.5,3.766980902,-0.236463519,1.463161387,2
"61",61,149,149,149,20138,"AG_2017",2017,"J5.",10,5.5,1,2,3,"5/17/17",137,"nonmast",NA,420,NA,"n","AJM/EEM","grass",1.563492063,19,1,3,"low predator",5,0.735397158,0.75339618,0.223606798,9,NA,0.160363944,0,50,2,7762,119,"AG",5.5,10,3.013584721,-0.395069359,0.945529082,1
"62",62,161,161,161,13450,"AG_2017",2017,"K0",11,0,1,2,3,"6/20/17",171,"nonmast",NA,420,NA,"n","MMS/MCS","grass",1.563492063,19,9,5,"low predator",6,0.735397158,0,0,25,NA,0.160363944,0,0,2,7720,147,"AG",0,11,0,0.493123343,-1.125000137,1
